restaurant_name,tfidf_keywords
BRGR BOX,"['burger', 'burgers', 'breast', 'pizza', 'pizzas', 'grilled', 'chicken', 'bit', 'fries', 'portions']"
Recess at Brindleyplace,"['hotel', 'posh', 'calamari', 'nachos', 'afternoon tea', 'ones', 'husband', 'ended', 'set', 'afternoon']"
Nando's Birmingham - Grand Central,"['seated', 'nandos', 'queue', 'mins', 'busy', 'rude', 'manager', 'wait outside', 'fairly fast', 'flying']"
Coffee Tales Jewellery Quarter,"['changing', 'breakfast', 'cakes', 'picky person', 'cakes sandwiches', 'coffee big', 'freindly', 'fully equipped', 'independents', 'attached photo']"
The Mermaid Bar And Kitchen,"['rude asking', 'rice chips', 'loyalty card', 'taste quite', 'quite strong', 'couldn staff', 'salty couldn', 'waitress friendly', 'loyalty', 'daily']"
Arabica Cafe - Bakhtawar Trust - Free cafe,"['support given', 'humanity', 'drink highly', 'cafe months', 'recommend friendly', 'hi', 'homeless', 'cook', 'atmosphere service', 'pop']"
Burger King,"['king', 'burger', 'burgers', 'burger king', 'plant', 'app', 'counter', 'help', 'fries', 'waiting']"
Shawarma City,"['shawarma', 'shawarma ve', 'shwarma', 'chicken shwarma', 'smells', 'prices high', 'chicken lamb', 'better really', 'far better', 'freshness']"
Cosy Club,"['cosy', 'pancakes', 'club', 'breakfast', 'attended', 'bacon', 'prices', 'staff lovely', 'presented', 'attentive welcoming']"
Turkish Kitchen Selly Oak,"['strips', 'chicken strips', 'avoid avoid', 'avoid', 'reach', 'smell', 'chicken', 'rice', 'sharwarma', 'throw away']"
Missing Bar,"['missing', 'friend', 'pepsi', 'stage', 'pride', 'banned', 'cola', 'waiting served', 'sang', 'bar']"
The Dragon Inn - JD Wetherspoon,"['wetherspoons', 'mushy peas', 'mushy', 'spoons', 'pudding', 'ale', 'peas', 'ideal', 'going', 'usually']"
Ming Moon Buffet & Karaoke,"['buffet', 'ming', 'moon', 'feel', 'really enjoyed', 'different kinds', 'unwelcome really', 'buffet experience', 'laughter', 'staff attitude']"
Coffee Diner,"['breakfast', 'point', 'quaint little', 'till offered', 'extractor', 'prep', 'lady said', 'extra 50', 'friendly don', 'coffee breakfast']"
Everyman Birmingham Mailbox,"['cinema', 'sofas', 'movie', 'luxurious', 'mailbox', 'comfortable', 'app', 'located', 'experience', 'service create']"
ASIA ASIA FOOD HALL Birmingham,"['card', 'korean', 'japanese', 'hall', 'pay', 'fried chicken', 'cash', 'pay cash', 'refund', 'topping']"
Barclays Bank,"['bank', 'joint', 'saving', 'assisted', 'helpful', 'stress free', 'account', 'stress', 'customer', 'credit']"
Temper and Brown,"['festival', 'review', 'visiting', 'service menu', 'want write', 'absolutely recommend', 'amazing ve', 'meant really', 'loving', 'visiting absolutely']"
Boots,"['boots', 'store', 'queue long', 'queue', 'products', 'long staff', 'shelves', 'available', 'till', 'credit']"
Madras Curries,"['anmol', 'thali', 'incredibly attentive', 'breakfast buffet', 'buffet', 'recommendations', 'ambiance', 'attentive', 'dinner', 'server']"
Celebrity Indian Balti - Best Indian Restaurant Birmingham,"['naan bread', 'tandoori', 'naan', 'paneer', 'starters mains', 'stylish', 'design', 'starters', 'indian', 'mains']"
Kawataku,"['preference', 'bubble tea', 'bubble', 'mailbox', 'korean', 'asian', 'flavourful', 'lovely', 'matcha', 'iced']"
Klassic Grill Bar Restaurant,"['kept', 'rice', 'receipt', 'meat', 'ask', 'reasonable', 'tasty cooked', 'birmingham simple', 'things right', 'paying 20']"
The Alpha Cafe,"['centre', 'customer service', 'average', 'house', 'customer', 'city centre', 'reasonable', 'coffee reasonable', 'napkin', 'working don']"
Itaewon Korean Restaurant,"['korean', 'halal', 'visited say', 'say experience', 'oriented', 'menu', 'experience exceptional', 'polite friendly', 'respectful', 'atmosphere']"
Subway,"['subway', 'dairy free', 'dairy', 'free', 'tray', 'toasted', 'gluten free', 'gluten', 'wow', 'bread']"
Circo Student Bar Birmingham,"['bar', 'incredible', 'music', 'glorious', 'watch sport', 'atmosphere doesn', 'incredible drinks', 'atmosphere university', 'trio', 'bouncers incredibly']"
Costa Coffee,"['costa', 'st', 'better', 'roundabout', 'coffee', 'machine', 'better quality', 'customers', 'counter', 'info']"
Barchester - Edgbaston Beaumont Care Community,"['care', 'home', 'edgbaston', 'placement', 'thank', 'mum', 'staff', 'pleasure', 'manager', 'concerts']"
All Bar One Brindleyplace,"['canal', 'table', 'saturday', 'afternoon', 'lovely', 'cocktails', 'manager lovely', 'plenty outdoor', 'whichever', 'say disappointed']"
SOHO Coffee Bullring,"['porridge', 'branches', 'break', 'toppings', 'coffee shop', 'coffee', 'tea', 'man served', 'decor atmosphere', 'tea cake']"
Restaurant Folium,"['tasting menu', 'tasting', 'desserts', 'amazing', 'courses', 'wagyu', 'amazing dinner', 'ben', 'wine pairing', 'menu']"
Four Seasons Donya,"['takeaway', 'chinese takeaway', 'curry sauce', 'chinese', 'curry', 'house', 'menu', 'years', 'hot definitely', 'probably worst']"
Rajdoot Indian Restaurant,"['ginger', 'dining', 'dishes', 'indian', 'ambiance', 'lamb', 'highly recommended', 'menu visit', 'whisky', 'indian dining']"
Costa Coffee,"['costa', 'university', 'quick service', 'gets', 'just', 'service level', 'atmosphere university', 'drink really', 'outlet highly', 'sprinkles']"
J D Wetherspoon - The Briar Rose,"['spoons', 'honestly', 'room', 'pound', 'amazed', 'wall', 'hotels', 'price', 'brilliant', 'double']"
Lina Coffee,"['kunafa', 'tea', 'bigger', 'portion', 'desserts', 'enjoy coffee', 'value price', 'moroccan', 'drink absolutely', 'mint tea']"
Edgbaston Golf Club,"['edgbaston', 'golf', 'club', 'event', 'venue', 'thanks', 'course', 'moor', 'bap', 'condition']"
Costa Coffee,"['kids', 'messing', 'staff', 'fridge', 'costa', 'grab', 'shop', 'going', 'doing', 'door']"
El Azteca @ The Loft 1000 Trades,"['tacos', 'mexican', 'margarita', 'margaritas', 'prawn', 'flavours', 'authentic', 'spot visiting', 'visiting sure', 'doubt best']"
Impresso Coffee Lounge,"['ice', 'caramel', 'breakfast', 'oat', 'took', 'asked', 'long', 'girl', 'latte', 'staff phone']"
Nando's Birmingham - Broad Street,"['nando', 'intentionally', 'breast', 'legs', 'eaten', 'usual', 'worst', 'service days', 'dan', 'service usual']"
Nando's Selly Oak,"['nandos', 'mains', 'ice', 'experience definitely', 'guess', 'starters', 'turned', 'wait', 'reason', 'weren']"
Instant Offices,['nan']
Tortilla Birmingham Grand Central,"['quesadilla', 'used', 'sour cream', 'burrito', 'sour', 'tortilla', 'salsa', 'small', 'cream', 'dip']"
Canvas House,"['lovely people', 'lovely', 'chill', 'people', 'knock', 'lovely warm', 'space staff', 'lockdown', 'chill friendly', 'know earlier']"
The Queen's Foundation,"['community', 'comfortable', 'queen', 'chats', 'christian', 'phd', 'lovely overall', 'overnight', 'comfortable accommodation', 'shower cubicle']"
Yorks Cafe & Coffee Roasters,"['breakfast', 'yorks', 'house breakfast', 'cafe', 'brunch', 'peanut butter', 'peanut', 'house', 'table', 'sourdough']"
Sultan Lounge,"['10', 'mum', 'lounge', 'shisha', '10 10', 'favorite', 'unreal', 'serves', 'helpful', 'friendly helpful']"
Yorks Cafe - Ikon Gallery,"['yorks', 'coffee', 'quality', 'gone', 'brunch', 'branch', 'latte', 'coffee flavour', 'rest menu', 'bang buck']"
Chiro Relief,"['suffering', 'issues', 'doctor', 'pain', 'visiting', 'recommendation', 'knowledgeable', 'hour', 'easy', 'working']"
La Galleria,"['italian', 'proper', 'waiter', 'pizza', 'feel', 'generous', 'portions', 'portions quite', 'served rich', 'coming service']"
200 Degrees Coffee Shop & Barista School,"['dog', 'cafe', '200 degrees', 'coffee', 'coffee shop', 'degrees', '200', 'brother', 'dogs', 'meet']"
Harborne Tandoori Restaurant,"['100', 'bit', 'outstanding', 'lovely wonderful', 'sheekh kebab', 'thing probably', 'sheekh', 'portion generous', 'friendly bit', 'night ve']"
Glaze Room Pottery Painting,"['paint', 'couple hours', 'creative', 'unlimited', 'hot drinks', 'item', 'staff super', 'friends', 'really', 'fun']"
The High Field,"['birthday', 'sunday lunch', 'wife', 'lunch', 'sunday', 'just', 'shock', 'thank guys', 'wine', 'bartender']"
Food Fellows Coffee Shop at the Library,"['library', 'hot water', 'café', 'water', 'broken', 'rude', 'hot', 'staff rude', 'deal', 'staff']"
Bull Ring Indoor Market,"['market', 'grocery', 'crabs', 'essentials', 'fish', 'african', 'seafood', 'spices', 'buying', 'vegetables']"
Ruby Takeaway Harborne,"['takeaway', 'fresh fresh', 'delivery', 'chinese takeaway', 'disappoint', 'chinese', 'pick', 'fresh', 'priced', 'atmosphere doesn']"
Ed's Easy diner,"['beans', 'hard', 'bacon hard', 'risk', 'mushrooms', 'sausages', 'greasy', 'brown', 'toast', 'sausage']"
Quay Brew Cafe Ltd,"['tandoori', 'tandoori chicken', 'bap', 'chicken', 'cafe', 'items', 'range', 'birmingham don', 'busy areas', 'cafe open']"
Locanta italian restaurant,"['pasta', 'family kids', 'authentic italian', 'gent', 'tiramisu', 'italian', 'portion', 'gluten', 'portion sizes', 'sizes']"
NATIONAL ORGANISATION OF ASIAN BUSINESSES LIMITED,['nan']
Rock Up Birmingham,"['olivia', 'climbing', 'daughter', 'reached', 'confidence', 'year old', 'wall', 'super helpful', 'rock', 'child']"
Avanti West Coast Trains First Class Lounge,"['train', 'lounge', 'platform', 'pepsi', 'lemonade', 'ticket', 'snacks', 'water', 'early', 'expensive']"
Falafel Munch (Selly Oak),"['falafel', 'lunch', 'fresh', 'crunchy', 'wrap', 'light', 'soft', 'fast', 'doesn justice', 'munch']"
Costa Coffee,"['costa', 'excuse', 'cleaning', 'staff', 'cream', 'ice', 'states', 'costa staff', 'unisex', 'task']"
"West Cornwall Pasty, Birmingham New Street",['nan']
Urban Cafe / Bar / Kitchen - Jewellery Quarter,"['95', 'coffee', 'really', 'coffees', 'honestly', 'tastes really', 'worth definitely', 'said value', 'clear signage', 'inconsistent service']"
Java Roastery,"['coffee', 'java', 'comfortable seating', 'quiet', 'walked', 'size', 'comfortable', 'plenty coffee', 'rent', 'marathon']"
Pret A Manger,"['pret', 'manger', 'pret manger', 'cup', 'worst', 'service days', 'quick shop', 'cup wasn', 'space lovely', 'stars dropped']"
The Exchange,"['space', 'exchange', 'rep', 'info', 'birmingham', 'lovely space', 'university birmingham', 'study', 'cafe', 'high']"
Varanasi,"['varanasi', 'beautiful decor', 'birthday', 'decor', 'showed', 'beautiful', 'indian', 'impressive', 'thoroughly', 'stunning']"
Premier Inn Birmingham City Centre Broad Street hotel,"['spaces', 'stay', 'parking spaces', 'parking', 'site', 'location', 'hotel', 'rooms', 'comfortable', 'pleasant']"
Primitivo,"['bar', 'required', 'difficult', 'start finish', 'plate', 'wife', 'chef', 'prepared', 'finish', 'birthday']"
The Queens Arms,"['queen', 'arms', 'pub', 'bar', 'games', 'st', 'queens', 'traditional', 'beer', 'stand']"
Shell,"['pump', 'wash', 'issue', 'petrol', 'guy', 'used', 'usually', 'station', 'working', 'needs updating']"
Miller & Carter Mailbox,"['steak', 'cabbage', 'team', 'steak cooked', 'cooked', 'entire', 'perfection', 'fantastic', 'enjoyable', 'rowdy']"
Costa Coffee,"['costa', 'hospital', 'cafe', 'everyday', 'appeared', 'coffee', 'standard', 'issue', 'service', 'fat milk']"
InFusion,"['unless', 'poison', 'horrendous', 'bug', 'unless want', 'pig', 'busy bad', 'bit overpriced', 'chicken cooked', 'dragged']"
ODEON Luxe Birmingham Broadway Plaza,"['cinema', 'movie', 'orders', 'snacks', 'film', 'popcorn', 'screens', 'sound', 'getting', 'comfort']"
Gourmet Burger Kitchen,"['burger', 'bacon', 'gbk', 'burgers', 'fries', 'beef burger', 'identify', 'burger meat', 'refund', 'contained']"
Canalside Bar,"['atmosphere inside', 'outside', 'canal', 'seating', 'cosy', 'outdoor', 'inside', 'drink', 'afternoon', 'fine']"
Cone Hub,"['cone', 'hub', 'dessert shop', 'dessert', 'wow absolutely', 'cones', 'unique', 'peri', 'pizza', 'concept']"
Primark Café with Disney,"['themed', 'cafe', 'minimal', 'primark', 'basic', 'cup', 'tables', 'salad', 'chicken', 'children']"
Birmingham Post Office,"['post', 'office', 'patient', 'process', 'liz', 'parcel', 'dealt', 'smooth', 'excellent service', 'efficient']"
Dishoom Birmingham,"['dishoom', 'service warm', 'vibrant', 'indian', 'memorable', 'group', 'menu', 'experience', 'outstanding', 'decor']"
City Centre,['nan']
COFFEE SHOP MARKETING LIMITED,['nan']
FRESH COFFEE SHOP WOMBOURNE LIMITED,['nan']
Tim Hortons,"['tim', 'hortons', 'spilled', 'tim hortons', 'children', 'level', 'meals', 'department', 'enjoyed atmosphere', 'extremely bad']"
Mr Yummy,"['rice', 'egg', 'chinese', 'fried rice', 'kung', 'chinese customers', 'a1', 'fried', 'tho', 'chicken']"
EL&N London - New Street,"['el', 'trendy', 'pink', 'cakes', 'theme', 'visit', 'gorgeous', 'cafe', 'honest', 'worth']"
Twelfth Man Edgbaston (Previously Edgbaston Sports Bar),"['cricket', 'later', 'pub', 'celebrate friends', 'outrageous', 'happily stay', 'served plastic', 'got drink', 'fresh clean', 'staff new']"
City kebab and pizza house,"['pizza', 'scallop', 'fish', 'cod', 'chips', 'chicken wings', 'kebab', 'potato', 'wings', 'average']"
Domino's Pizza - Birmingham - Central,"['pizza', 'megan', 'large pizza', 'domino', 'medium', 'service quick', 'large', 'toppings', 'decided', 'definitely coming']"
Babylon Shisha Bar & Restaurant,"['shisha', 'lounge birmingham', 'awful', 'ignored', 'lounge', 'fast', 'staff', 'staff 12', 'staff cool', 'service man']"
Yummy Yummy,"['chow mein', 'chow', 'mein', 'overcooked', 'duck', 'yummy', 'yummy yummy', 'amazing kind', 'disappointed quality', 'yung']"
Yorks Cafe - Paradise,"['matcha', 'location', 'staff didn', 'didn', 'overcooked', 'coffee', 'improvement', 'café', 'refund', 'looking']"
St martin tea lounge,"['lounge', 'tea', 'venue', 'national', 'wednesdays', 'martin', 'socially', 'smile lovely', '12 30', 'choice snacks']"
Cafe Face,"['muffin', 'coffee', 'cortado', 'student', 'feels', 'brought', 'lamb', 'chocolate', 'wasn hungry', 'lamb cooked']"
Ali's Kebab & Grill,"['peri', 'salad', 'homemade sauces', 'clean served', 'peri wrap', 'amazing just', 'service salad', 'service clean', 'competitive prices', 'chicken lamb']"
Mellow's Bar & Restaurant,"['jerk', 'pasta', 'rice peas', '99', 'respectful', 'peas', 'salmon', 'vibes', 'based', 'lamb']"
LEON,"['fast', 'fast service', 'muffin', 'recommend coffee', 'lover', 'dog', 'coffee', 'breakfast', 'rush', 'bacon']"
Aria Restaurant,"['breakfast', 'today', 'plate', 'shame', 'lovely', 'birthday', 'outstanding', 'tea', 'way experience', 'didn ask']"
Five Guys Burgers and Fries Birmingham New St Station,"['train', 'store', 'quickly', 'burgers', 'guys', 'fries', 'needs', 'staff', 've', 'taking train']"
The Jumbo Chinese Takeaway,"['delivery', 'spring rolls', 'delivery driver', 'driver', 'spring', 'rolls', 'bland', 'chinese', 'takeaway', 'person']"
Clayton Hotel Birmingham,"['hotel', 'room', 'stay', 'centre', 'room clean', 'amenities', 'hot cold', 'quiet', 'exceptionally', 'hot']"
The Jam House,"['soul', 'night', 'music', 'group', 'band', 'area', 'dj', 'security', 'toilet', 'simple']"
ODEON Birmingham New Street,"['cinema', 'movie', 'screen', 'seats', 'lights', 'outdated', 'uncomfortable', 'odeon', 'constantly', 'smaller']"
Comfort Inn Birmingham,"['hear', 'room', 'shrugged', 'rooms', 'night', 'bed', 'windows', 'checked', 'cheap', 'reception']"
DARE Professional Audio,['nan']
United Travel,"['flight', 'travel', 'united', 'definitely use', 'service professional', 'price', 'ticket', 'chinese', 'excellent service', 'thank']"
Milano bar ristorante,"['lobster', 'delightful tea', 'delightful', 'theatre', 'lunch', 'dinner', 'satisfying', 'tea', 'underrated', 'lobster meat']"
The Railway,"['pint', 'table', 'staff', 'meals', 'stated', 'update', 'city', 'member staff', 'steak', 'simple']"
"Goose, The OVT, Selly Oak","['goose', 'rocky', 'sangria', 'pub', 'holiday', 'offered', 'range', 'years', 'pub best', 'goodbye']"
Lasan Indian Restaurant & Cocktail Bar,"['naan', 'starter', 'dishes', 'chose', 'really experience', 'flavours', 'beef', 'gift', 'experience', 'chicken']"
The Birmingham Stable,"['garlic bread', 'garlic', 'ciders', 'pizza', 'bread', 'nachos', 'gluten free', 'pizzas', 'gluten', 'free']"
Starbucks Coffee,"['honestly', 'kindness', 'quickly', 'thank', 'coming recently', 'smooth balanced', 'birmingham coach', 'recommend honestly', 'snoopy', 'kristina']"
B:eats,"['glasses', 'table', 'member staff', 'booth', 'chips', 'member', 'eggs', 'fish', 'sit', 'return']"
Uk fried chicken,"['burger', 'amazing', 'grill', 'pizza', 'going don', 'new management', 'fantastic recommend', 'amazing pizza', 'amazing going', 'careful']"
Caspian Pizza (Harborne),"['pizza', 'highly recommended', 'recommended', 'fast', 'pizzas', 'highly', 'shop', 'wings', 'ingredients', 'burger']"
Pushkar Cocktail Bar & Dining,"['apologetic', 'taken', 'curry', 'care', 'truly best', 'didn understand', 'different dishes', 'dishes awesome', 'incredibly flavorful', 'make things']"
Del Villaggio - Broad St,"['wait return', 'special thank', 'italian', 'truly', 'husband', 'lovely', 'experience', 'special', 'outstanding', 'return']"
Zizzi - Birmingham Brindley Place,"['zizzi', 'dinner', 'really came', 'outside enjoy', 'beard', 'canal view', 'celebrated anniversary', 'perfect visit', 'experience perfect', 'did busy']"
Pitcher & Piano Birmingham,"['friday night', 'service quick', 'canal', 'amazing', 'friday', 'sat', 'returning', 'early ll', 'outside canal', 'canal area']"
Meriden St & Co,"['vibes', 'smoothies', 'refreshing', 'desserts', 'latte', 'recommend', 'honestly', 'friends service', 'spanish latte', 'heart digbeth']"
St. Martin’s Church,"['church', 'architecture', 'peaceful', 'st', 'stained', 'martin', 'glass', 'city', 'heart city', 'heart']"
JASHARI GYROS,"['greek', 'expect', 'fries', 'gyro', 'microwaved', 'dense', 'fresh cooked', 'service portion', 'expect staff', 'leftovers']"
Bushwackers,"['nationality', 'attend', 'attempt', 'let', 'club', 'security', 'want', 'comes', 'turned', 'night']"
Mitchells & Butlers,"['company', 'stamp', 'training', 'appalling', 'gift', 'gift card', 'bank', 'office', 'months', 'card']"
The Kooples,"['lauren', 'hand', 'help', 'store', 'return', 'wish little', 'actually perfect', 'thank help', 'lovely person', 'oriental']"
Bubbleology Bullring,"['bubble', 'tea', 'drink really', 'bullring', 'bubble tea', 'drink', 'hoping', 'fruit', 'quite', 'branch']"
Hen & Chickens,"['mixed grill', 'grill', 'mixed', 'pint', 'party', 'curry', 'pub', 'beer', 'pub times', 'got amazing']"
Noodle Bar,"['chance', 'chinese', 'outside doesn', 'recommend area', 'craving proper', 'broth rich', 'doesn look', 'officially', 'area craving', 'usual chinese']"
Birmingham Central Roleplayers Club,['nan']
Starbucks Coffee,"['oat', 'did ask', 'milk', 'white', 'oat milk', 'pos', 'drink', 'did', 'cream', 'mocha']"
Lys Café,"['mint tea', 'moroccan', 'really selection', 'baklava', 'selection cakes', 'amazing coffee', 'mint', 'indoor outdoor', 'coffee really', 'indoor']"
Savills Birmingham Estate Agents,"['property', 'isaac', 'process', 'mr', 'step', 'entire process', 'reliable', 'showed', 'recently', 'questions']"
Bar + Block Steakhouse Birmingham City Centre (Waterloo Street),"['zoe', 'steaks', 'forgot', 'steak', 'chef', 'size', 'extra sauce', 'forgot drink', 'sirloin', 'lovely team']"
The Brasshouse,"['beer', 'pub', 'black sabbath', 'sabbath', 'pub really', 'black', 'ipa', 'chris', 'pint', 'canal']"
1900 Restaurant and Bar,"['salad', 'cristina', 'hot plate', 'bright clean', 'super hot', 'decor friendly', 'modern decor', 'atmosphere look', 'relaxing atmosphere', 'friendly bit']"
wagamama birmingham new street,"['table', 'meet', 'gluten', 'wagamama', 'friend', 'dishes', 'doors', 'chicken', 'little', 'fast']"
Starbucks Coffee,"['staff lovely', 'queued', 'just greeted', 'iced matcha', 'fairly fast', 'loads seating', 'matcha really', 'lovely drinks', 'appalling behaviour', 'excellent coffee']"
The Birmingham Botanical Gardens,"['gardens', 'plants', 'medicine', 'medicine bakery', 'bakery', 'section', 'garden', 'tropical', 'cafe', 'grounds']"
Elio Café,"['cafe', 'coffee', 'creating', 'cheesecake', 'furniture', 'excellent coffee', 'ceilings', 'curated', 'high', 'excellent']"
Turtle Bay Birmingham,"['cocktails', 'bottomless brunch', 'bottomless', 'brunch', 'server', 'drinks', 'visit family', 'just impressive', 'bay', 'better highly']"
McDonald's,"['mcdonald', 'late night', 'quick', 'late', 'open', 'people little', 'loved stay', 'brummie', 'busy rush', 'work hard']"
The Moseley Arms,"['pub', 'stay', 'arms', 'city', 'location', 'general', 'stay birmingham', 'rooms', 'bar', 'city centre']"
Slug & Lettuce - Harborne,"['megan', 'bottomless brunch', 'bottomless', 'brunch', 'max', 'amazing', 'thank', 'absolutely amazing', 'efficient', 'said liked']"
Viela JQ: Café / Dance studio,"['tapioca', 'sat inside', 'crepe', 'sat', 'mint', 'sun', 'proper', 'inside', 'salad', 'vibe']"
Caribbean Twist,"['paid', 'cheese', 'tough', 'mac cheese', 'mac', 'young', 'outside', 'disappointed', 'young woman', 'called store']"
Baguette World,"['kebab', 'piri', 'chicken', 'stomach', 'baguette', 'piri piri', 'price better', 'sake health', 'going cafe', 'stomach pain']"
